time,x,y,z,phi,theta,psi,u,v,w,p,q,r,Stern plane (deg) (command),Stern plane (deg) (actual),buoy_x,buoy_y,buoy_z,buoy_phi,buoy_theta,buoy_psi,dock_x,dock_y,dock_z,dock_phi,dock_theta,dock_psi
1.06,4.3565997176437365,0.0,49.999070082886625,0.0,0.0009439249955580692,0.0,4.11,0.0,-0.0009490482629318909,0.0,0.0037184583233800753,0.0,-0.02872464146580162,-0.007821306768413801,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.08,4.438799661766324,0.0,49.99897209070653,0.0,0.0010227782961583073,0.0,4.11,0.0,-0.0010200783035590178,0.0,0.003942665030011901,0.0,-0.029798921599514815,-0.008239373462361558,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.1,4.5209995963786,0.0,49.998866123062534,0.0,0.0011062664052290906,0.0,4.11,0.0,-0.0010947647079367004,0.0,0.004174405453539169,0.0,-0.030891502014539,-0.008670564425104624,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.12,4.603199520121822,0.0,49.998751723879,0.0,0.0011945399656589412,0.0,4.11,0.0,-0.00117320589637852,0.0,0.004413678021492528,0.0,-0.03200229127819304,-0.009114983176893311,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.1400000000000001,4.685399431480294,0.0,49.99862842273831,0.0,0.0012877494568968994,0.0,4.11,0.0,-0.001255499839438685,0.0,0.00466047456189791,0.0,-0.03313119697058845,-0.009572729338919306,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.16,4.767599328767635,0.0,49.99849573490449,0.0,0.0013860450664899748,0.0,4.11,0.0,-0.0013417439983645725,0.0,0.004914780479653776,0.0,-0.03427812569349216,-0.01004389869155269,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.18,4.849799210112282,0.0,49.99835316135866,0.0,0.0014895765652190628,0.0,4.11,0.0,-0.0014320352677074746,0.0,0.0051765749364544025,0.0,-0.035442983079687865,-0.010528583231591478,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.2,4.931999073442183,0.0,49.99820018884574,0.0,0.0015984931858916366,0.0,4.11,0.0,-0.0015264699200725946,0.0,0.005445831033628693,0.0,-0.03662567380281085,-0.011026871228553406,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.22,5.014198916468692,0.0,49.99803628993229,0.0,0.0017129435058377354,0.0,4.11,0.0,-0.0016251435529866672,0.0,0.0057225159973049436,0.0,-0.037826101587643546,-0.011538847280038554,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.24,5.096398736669638,0.0,49.99786092307492,0.0,0.001833075333144757,0.0,4.11,0.0,-0.0017281510378591345,0.0,0.006006591365351077,0.0,-0.03904416922085018,-0.012064592366190655,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
